model,resample_no,rmse
cat,194,0.49534018301864646
cat,195,0.4849001792379951
cat,196,0.4829006419725216
cat,197,0.501803755212492
cat,198,0.4862226588028321
cat,199,0.4844882774319407
cat,200,0.5042151942840198
lgb,1,0.4971318228094975
lgb,2,0.47710843127399827
lgb,3,0.5025156740627416
lgb,4,0.5068229455971446
lgb,5,0.48372819409797907
lgb,6,0.5063377932239662
lgb,7,0.49035034252779053
lgb,8,0.47710843127399827
lgb,9,0.48356647664025304
lgb,10,0.481092267892949
lgb,11,0.47570841663970487
lgb,12,0.4866378366039192
lgb,13,0.47156286256302804
lgb,14,0.4806568341343128
lgb,15,0.5011156594284482
lgb,16,0.478618059145645
lgb,17,0.481092267892949
lgb,18,0.4889503278934971
lgb,19,0.4692503712734501
lgb,20,0.5009539419707221
lgb,21,0.47710843127399827
lgb,22,0.48604068538755707
lgb,23,0.48125398535067515
lgb,24,0.4907833906805961
lgb,25,0.47463422252669424
lgb,26,0.476511280057636
lgb,27,0.5066612281394185
lgb,28,0.46908865381572407
lgb,29,0.48372819409797907
lgb,30,0.4972414360468509
lgb,31,0.5009539419707221
lgb,32,0.4929862687328206
lgb,33,0.4717245800207541
lgb,34,0.48480477381682024
lgb,35,0.48372819409797907
lgb,36,0.47958264002130224
lgb,37,0.49433417914674127
lgb,38,0.481092267892949
lgb,39,0.4984797332234181
lgb,40,0.478618059145645
lgb,41,0.4851282087322725
lgb,42,0.49325759942790015
lgb,43,0.4889503278934971
lgb,44,0.49142453664080116
lgb,45,0.48249228252724236
lgb,46,0.5063377932239662
lgb,47,0.5009539419707221
lgb,48,0.48927376280894935
lgb,49,0.481092267892949
lgb,50,0.5011156594284483
lgb,51,0.4826539999849685
lgb,52,0.471562862563028
lgb,53,0.476511280057636
lgb,54,0.4891120453512232
lgb,55,0.47958264002130224
lgb,56,0.5028391089781937
lgb,57,0.4931479861905467
lgb,58,0.5011156594284483
lgb,59,0.4849664912745464
lgb,60,0.4914245366408011
lgb,61,0.5026252873000949
lgb,62,0.4946576140621934
lgb,63,0.5106450647583691
lgb,64,0.4828157174426946
lgb,65,0.5050994960473989
lgb,66,0.5025156740627417
lgb,67,0.4828157174426946
lgb,68,0.4901862394642338
lgb,69,0.4828157174426946
lgb,70,0.4874407000218504
lgb,71,0.4891120453512232
lgb,72,0.4852899261899986
lgb,73,0.48927376280894935
lgb,74,0.4946576140621935
lgb,75,0.5064995106816923
lgb,76,0.47710843127399827
lgb,77,0.4866378366039192
lgb,78,0.4928245512750945
lgb,79,0.48647611914619315
lgb,80,0.49158625409852724
lgb,81,0.47419878876805815
lgb,82,0.4988031681388703
lgb,83,0.49062167322287004
lgb,84,0.46617901130978395
lgb,85,0.4901862394642339
lgb,86,0.47710843127399827
lgb,87,0.49325759942790015
lgb,88,0.4852899261899986
lgb,89,0.47877977660337107
lgb,90,0.4971318228094974
lgb,91,0.47463422252669424
lgb,92,0.47958264002130224
lgb,93,0.4968083878940452
lgb,94,0.4866378366039193
lgb,95,0.49062167322287
lgb,96,0.471562862563028
lgb,97,0.48895032789349707
lgb,98,0.495570090717478
lgb,99,0.4872789825641243
lgb,100,0.495570090717478
lgb,101,0.48512820873227247
lgb,102,0.5064995106816924
lgb,103,0.5064995106816923
lgb,104,0.48512820873227247
lgb,105,0.49062167322287
lgb,106,0.49309588197017395
lgb,107,0.48372819409797907
lgb,108,0.5067708413767719
lgb,109,0.49158625409852724
lgb,110,0.48512820873227247
lgb,111,0.48356647664025304
lgb,112,0.49309588197017395
lgb,113,0.4891120453512233
lgb,114,0.4862024028452831
lgb,115,0.47323420789240095
lgb,116,0.5009539419707221
lgb,117,0.47958264002130224
lgb,118,0.49035034252779053
lgb,119,0.49325759942790004
lgb,120,0.481092267892949
lgb,121,0.49309588197017395
lgb,122,0.5025156740627417
lgb,123,0.5011156594284483
lgb,124,0.510483347300643
lgb,125,0.4692503712734501
lgb,126,0.4948193315199195
lgb,127,0.49309588197017395
lgb,128,0.48356647664025304
lgb,129,0.4874407000218504
lgb,130,0.4929862687328206
lgb,131,0.4852899261899986
lgb,132,0.4812539853506751
lgb,133,0.49697010535177133
lgb,134,0.4891120453512232
lgb,135,0.4769467138162722
lgb,136,0.5064995106816923
lgb,137,0.5066612281394185
lgb,138,0.47818262538700884
lgb,139,0.4732342078924009
lgb,140,0.5026773915204676
lgb,141,0.4692503712734501
lgb,142,0.47463422252669424
lgb,143,0.48927376280894935
lgb,144,0.4849664912745464
lgb,145,0.4866378366039192
lgb,146,0.4946576140621934
lgb,147,0.471562862563028
lgb,148,0.495570090717478
lgb,149,0.4914245366408011
lgb,150,0.49853183744379087
lgb,151,0.48604068538755707
lgb,152,0.4907833906805961
lgb,153,0.4851282087322725
lgb,154,0.47958264002130224
lgb,155,0.4946576140621935
lgb,156,0.4972414360468509
lgb,157,0.4769467138162722
lgb,158,0.4948193315199195
lgb,159,0.5023539566050155
lgb,160,0.47570841663970487
lgb,161,0.4928245512750945
lgb,162,0.5011156594284482
lgb,163,0.5063377932239662
lgb,164,0.4866378366039193
lgb,165,0.49062167322287
lgb,166,0.49325759942790015
lgb,167,0.48356647664025304
lgb,168,0.4988031681388703
lgb,169,0.49864145068114424
lgb,170,0.47156286256302804
